"Date","Price","Open","High","Low","Vol.","Change %"
"26/09/2021","0.38590","0.34150","0.41740","0.30010","","12.94%"
"19/09/2021","0.34170","0.42960","0.42960","0.28920","","-20.18%"
"12/09/2021","0.42810","0.36180","0.57350","0.34770","","17.93%"
"05/09/2021","0.36300","0.31620","0.38900","0.23600","","14.15%"
"29/08/2021","0.31800","0.26080","0.31890","0.24040","","21.93%"
"22/08/2021","0.26080","0.24229","0.29083","0.22870","","7.65%"
"15/08/2021","0.24226","0.26290","0.26611","0.21531","","-7.66%"
"08/08/2021","0.26235","0.22489","0.27652","0.20652","","16.51%"
"01/08/2021","0.22517","0.21448","0.22743","0.20147","","5.54%"
"25/07/2021","0.21336","0.17454","0.21779","0.17059","","19.12%"
"18/07/2021","0.17911","0.18735","0.19440","0.15500","","-4.40%"
"11/07/2021","0.18735","0.16915","0.19920","0.16314","","10.79%"
"04/07/2021","0.16910","0.19487","0.19546","0.16413","","-12.38%"
"27/06/2021","0.19299","0.17910","0.21097","0.17266","","7.80%"
"20/06/2021","0.17902","0.19539","0.19698","0.14403","","-8.48%"
"13/06/2021","0.19560","0.19005","0.22576","0.18194","","3.33%"
"06/06/2021","0.18930","0.22150","0.23260","0.18353","","-14.80%"
"30/05/2021","0.22218","0.20893","0.25875","0.20040","","6.30%"
"23/05/2021","0.20901","0.26889","0.27385","0.20012","","-22.26%"
"16/05/2021","0.26887","0.32329","0.35537","0.20862","","-13.87%"
"09/05/2021","0.31217","0.29845","0.36768","0.24945","","4.89%"
"02/05/2021","0.29762","0.32766","0.33829","0.28136","","-8.81%"
"25/04/2021","0.32637","0.24527","0.32807","0.24005","","33.59%"
"18/04/2021","0.24431","0.34394","0.34394","0.22700","","-28.60%"
"11/04/2021","0.34218","0.33229","0.40231","0.33155","","3.66%"
"04/04/2021","0.33011","0.31001","0.35979","0.29461","","6.02%"
"28/03/2021","0.31136","0.33865","0.43438","0.31136","","-7.90%"
"21/03/2021","0.33808","0.31645","0.35322","0.28758","","6.99%"
"14/03/2021","0.31598","0.27756","0.44075","0.27756","","13.87%"
"07/03/2021","0.27748","0.14570","0.27748","0.14570","","91.43%"
"28/02/2021","0.14495","0.11853","0.17125","0.10514","","22.28%"
"21/02/2021","0.11854","0.13997","0.14882","0.10514","","-15.34%"
"14/02/2021","0.14002","0.13917","0.15015","0.11101","","0.97%"
"07/02/2021","0.13867","0.10362","0.14785","0.09287","","33.76%"
"31/01/2021","0.10367","0.08139","0.10455","0.07788","","27.66%"
"24/01/2021","0.08121","0.09584","0.09671","0.07982","","-15.19%"
"17/01/2021","0.09576","0.05950","0.11456","0.05528","","60.91%"
"10/01/2021","0.05951","0.05085","0.06205","0.03729","","17.75%"
"03/01/2021","0.05054","0.03335","0.06500","0.03117","","51.54%"
"27/12/2020","0.03335","0.03246","0.03506","0.03126","","3.22%"
"20/12/2020","0.03231","0.03578","0.03734","0.02975","","-9.70%"
"13/12/2020","0.03578","0.03470","0.03691","0.03408","","3.11%"
"06/12/2020","0.03470","0.03723","0.04049","0.03334","","-7.02%"
"29/11/2020","0.03732","0.03402","0.03930","0.03314","","9.67%"
"22/11/2020","0.03403","0.03329","0.03792","0.03132","","2.72%"
"15/11/2020","0.03313","0.03181","0.03313","0.02972","","3.89%"
"08/11/2020","0.03189","0.02974","0.03486","0.02974","","7.23%"
"01/11/2020","0.02974","0.02934","0.03181","0.02797","","0.88%"
"25/10/2020","0.02948","0.03261","0.03311","0.02871","","-9.60%"
"18/10/2020","0.03261","0.03126","0.03330","0.03017","","4.32%"
"11/10/2020","0.03126","0.03420","0.03522","0.03106","","-8.60%"
"04/10/2020","0.03420","0.03077","0.03557","0.02977","","11.15%"
"27/09/2020","0.03077","0.03235","0.03292","0.02943","","-4.88%"
"20/09/2020","0.03235","0.03440","0.03440","0.02954","","-5.96%"
"13/09/2020","0.03440","0.03858","0.03859","0.03409","","-10.83%"
"06/09/2020","0.03858","0.03615","0.03900","0.03462","","7.20%"
"30/08/2020","0.03599","0.04535","0.04686","0.03523","","-20.67%"
"23/08/2020","0.04537","0.05002","0.05002","0.04357","","-9.30%"
"16/08/2020","0.05002","0.05268","0.05926","0.04772","","-4.74%"
"09/08/2020","0.05251","0.04510","0.05649","0.04402","","16.43%"
"02/08/2020","0.04510","0.04576","0.04688","0.04250","","-1.68%"
"26/07/2020","0.04587","0.04299","0.04587","0.03997","","6.70%"
"19/07/2020","0.04299","0.04005","0.04346","0.03959","","7.34%"
"12/07/2020","0.04005","0.04155","0.04322","0.03842","","-3.56%"
"05/07/2020","0.04153","0.04130","0.04199","0.03910","","0.87%"
"28/06/2020","0.04117","0.03726","0.04129","0.03625","","11.06%"
"21/06/2020","0.03707","0.04380","0.04436","0.03672","","-15.37%"
"14/06/2020","0.04380","0.04240","0.04978","0.03836","","3.35%"
"07/06/2020","0.04238","0.04412","0.04570","0.03997","","-3.94%"
"31/05/2020","0.04412","0.04581","0.04589","0.04070","","-3.69%"
"24/05/2020","0.04581","0.03694","0.05080","0.03620","","24.05%"
"17/05/2020","0.03693","0.03610","0.03951","0.03509","","2.41%"
"10/05/2020","0.03606","0.03894","0.03907","0.03157","","-8.06%"
"03/05/2020","0.03922","0.04396","0.04396","0.03604","","-10.78%"
