"Date","Price","Open","High","Low","Vol.","Change %"
"27/02/2022","0.75391","0.75044","0.80324","0.69756","5.00B","0.46%"
"20/02/2022","0.75044","0.82174","0.82272","0.62253","8.04B","-8.66%"
"13/02/2022","0.82160","0.82203","0.85886","0.75487","4.75B","-0.01%"
"06/02/2022","0.82171","0.66618","0.91257","0.66050","7.38B","23.35%"
"30/01/2022","0.66617","0.61748","0.68613","0.58100","2.98B","7.90%"
"23/01/2022","0.61740","0.59679","0.65753","0.55498","4.70B","3.46%"
"16/01/2022","0.59674","0.77921","0.78416","0.55200","4.06B","-23.43%"
"09/01/2022","0.77934","0.74478","0.80681","0.70058","3.16B","4.65%"
"02/01/2022","0.74471","0.85003","0.86380","0.71549","3.60B","-12.39%"
"26/12/2021","0.85001","0.92522","0.95497","0.80292","3.36B","-8.13%"
"19/12/2021","0.92525","0.82643","1.01612","0.81969","6.03B","11.96%"
"12/12/2021","0.82643","0.83767","0.85633","0.76124","4.08B","-1.29%"
"05/12/2021","0.83722","0.84530","0.93300","0.75038","6.58B","-1.15%"
"28/11/2021","0.84697","0.94528","1.02975","0.62065","3.99B","-10.42%"
"21/11/2021","0.94547","1.09615","1.09715","0.92297","5.35B","-13.75%"
"14/11/2021","1.09614","1.18937","1.21934","1.01839","5.55B","-7.84%"
"07/11/2021","1.18937","1.15138","1.34634","1.13594","4.98B","3.32%"
"31/10/2021","1.15120","1.08409","1.25508","1.07002","4.64B","6.19%"
"24/10/2021","1.08406","1.09354","1.15926","0.95469","4.39B","-0.87%"
"17/10/2021","1.09354","1.13400","1.16343","1.02483","3.40B","-3.57%"
"10/10/2021","1.13400","1.16036","1.22162","1.06589","4.85B","-2.19%"
"03/10/2021","1.15945","1.03620","1.20814","1.00670","3.89B","11.89%"
"26/09/2021","1.03620","0.94014","1.06994","0.88656","4.40B","10.22%"
"19/09/2021","0.94014","1.07556","1.08348","0.85900","5.76B","-12.59%"
"12/09/2021","1.07557","1.07884","1.12973","1.02673","3.38B","-0.30%"
"05/09/2021","1.07882","1.25486","1.41516","0.96170","8.13B","-14.03%"
"29/08/2021","1.25482","1.14489","1.32231","1.09152","4.98B","9.60%"
"22/08/2021","1.14492","1.21654","1.30288","1.05214","5.58B","-5.89%"
"15/08/2021","1.21663","1.28017","1.34807","1.05220","8.18B","-4.96%"
"08/08/2021","1.28015","0.81666","1.30885","0.76058","7.33B","56.75%"
"01/08/2021","0.81666","0.74443","0.81814","0.69730","3.54B","9.72%"
"25/07/2021","0.74434","0.60496","0.76911","0.59105","6.06B","22.70%"
"18/07/2021","0.60665","0.58167","0.61383","0.51755","3.60B","4.30%"
"11/07/2021","0.58164","0.62470","0.65701","0.56785","2.98B","-6.95%"
"04/07/2021","0.62511","0.67644","0.70881","0.59340","3.55B","-7.59%"
"27/06/2021","0.67644","0.61669","0.72851","0.59735","4.90B","9.70%"
"20/06/2021","0.61663","0.75965","0.78412","0.51017","9.64B","-18.84%"
"13/06/2021","0.75977","0.83164","0.92692","0.75589","4.03B","-8.60%"
"06/06/2021","0.83121","0.92274","0.97376","0.78577","6.02B","-9.92%"
"30/05/2021","0.92274","0.83044","1.09730","0.79877","8.92B","11.12%"
"23/05/2021","0.83041","0.90502","1.06643","0.65070","14.51B","-8.24%"
"16/05/2021","0.90502","1.48591","1.69982","0.82006","20.80B","-39.09%"
"09/05/2021","1.48591","1.56235","1.62613","1.20537","10.37B","-4.89%"
"02/05/2021","1.56237","1.65073","1.76001","1.35493","11.36B","-5.35%"
"25/04/2021","1.65073","1.05015","1.66456","0.95088","14.78B","57.19%"
"18/04/2021","1.05015","1.53957","1.56266","0.89374","21.43B","-31.84%"
"11/04/2021","1.54064","1.37428","1.96332","1.30840","20.15B","12.10%"
"04/04/2021","1.37431","0.57886","1.39530","0.56884","21.78B","137.42%"
"28/03/2021","0.57886","0.54789","0.64142","0.53095","7.23B","5.65%"
"21/03/2021","0.54789","0.52460","0.59954","0.45393","11.54B","4.47%"
"14/03/2021","0.52446","0.45768","0.54965","0.42346","6.50B","14.59%"
"07/03/2021","0.45770","0.46296","0.48804","0.42505","5.71B","-1.14%"
"28/02/2021","0.46296","0.43578","0.49380","0.39340","7.80B","6.25%"
"21/02/2021","0.43574","0.51200","0.64615","0.36720","16.31B","-14.89%"
"14/02/2021","0.51200","0.63352","0.63792","0.47520","11.18B","-19.12%"
"07/02/2021","0.63303","0.44275","0.64209","0.39789","15.68B","42.98%"
"31/01/2021","0.44274","0.44329","0.75358","0.34132","34.45B","-0.07%"
"24/01/2021","0.44304","0.27163","0.50882","0.24441","9.93B","63.09%"
"17/01/2021","0.27166","0.27923","0.32793","0.24165","9.69B","-2.81%"
"10/01/2021","0.27951","0.32433","0.36658","0.25579","15.00B","-13.82%"
"03/01/2021","0.32432","0.22087","0.36878","0.21542","26.32B","46.77%"
"27/12/2020","0.22097","0.29463","0.30993","0.17428","26.67B","-24.99%"
"20/12/2020","0.29461","0.57665","0.58642","0.21523","32.11B","-48.90%"
"13/12/2020","0.57659","0.50589","0.65864","0.43985","13.12B","13.97%"
"06/12/2020","0.50589","0.58546","0.62717","0.48577","9.95B","-13.57%"
"29/11/2020","0.58532","0.62578","0.67952","0.54400","10.85B","-6.49%"
"22/11/2020","0.62597","0.46288","0.77883","0.41077","25.23B","35.07%"
"15/11/2020","0.46343","0.26813","0.46804","0.26412","8.95B","72.87%"
"08/11/2020","0.26808","0.24898","0.27710","0.24562","6.44B","7.67%"
"01/11/2020","0.24897","0.23971","0.26725","0.22803","7.11B","3.86%"
"25/10/2020","0.23972","0.25611","0.25904","0.23138","6.60B","-6.40%"
"18/10/2020","0.25611","0.24057","0.26354","0.24007","6.97B","6.45%"
"11/10/2020","0.24059","0.25391","0.25997","0.23772","8.31B","-5.25%"
"04/10/2020","0.25392","0.23265","0.26010","0.23152","8.54B","9.10%"
"27/09/2020","0.23273","0.24151","0.24838","0.22849","8.50B","-3.66%"
"20/09/2020","0.24157","0.25082","0.25131","0.21955","6.11B","-3.80%"
"13/09/2020","0.25111","0.24741","0.25821","0.23431","7.51B","1.47%"
"06/09/2020","0.24748","0.23737","0.24873","0.22977","10.98B","4.26%"
"30/08/2020","0.23736","0.27384","0.30373","0.23152","12.14B","-13.32%"
"23/08/2020","0.27384","0.28609","0.29193","0.25489","8.23B","-4.29%"
"16/08/2020","0.28611","0.29882","0.32667","0.27353","12.98B","-4.27%"
"09/08/2020","0.29886","0.29526","0.30713","0.27077","13.83B","1.22%"
"02/08/2020","0.29525","0.29101","0.32523","0.25562","19.02B","1.46%"
"26/07/2020","0.29100","0.24096","0.29743","0.23742","13.59B","35.58%"
"19/07/2020","0.21463","0.19988","0.21741","0.19286","7.27B","7.38%"
"12/07/2020","0.19989","0.20114","0.20645","0.18907","6.77B","-0.63%"
"05/07/2020","0.20115","0.17808","0.21161","0.17401","10.19B","12.95%"
"28/06/2020","0.17808","0.17514","0.17960","0.17240","5.69B","1.68%"
"21/06/2020","0.17514","0.18793","0.19042","0.16947","6.59B","-6.81%"
"14/06/2020","0.18793","0.19241","0.19852","0.18240","6.62B","-2.33%"
"07/06/2020","0.19241","0.20370","0.20499","0.18544","6.79B","-5.54%"
"31/05/2020","0.20370","0.20703","0.21452","0.19826","10.33B","-1.61%"
"24/05/2020","0.20703","0.19883","0.20754","0.19047","8.54B","4.13%"
"17/05/2020","0.19883","0.19981","0.20779","0.19013","9.63B","-0.49%"
"10/05/2020","0.19981","0.21648","0.21649","0.18239","17.74B","-7.70%"
"03/05/2020","0.21647","0.22371","0.22647","0.20729","17.91B","-3.24%"
"26/04/2020","0.22371","0.19419","0.23550","0.19275","20.56B","15.20%"
"19/04/2020","0.19420","0.19529","0.19856","0.17885","17.78B","-0.57%"
"12/04/2020","0.19532","0.18843","0.19669","0.17432","18.85B","3.67%"
"05/04/2020","0.18841","0.18122","0.20497","0.17691","20.62B","3.97%"
"29/03/2020","0.18122","0.17547","0.18587","0.16217","23.53B","3.28%"
"22/03/2020","0.17545","0.15789","0.18709","0.14544","27.74B","11.13%"
"15/03/2020","0.15788","0.14596","0.17453","0.12872","38.41B","8.17%"
"08/03/2020","0.14596","0.23622","0.23622","0.10570","50.78B","-38.21%"
"01/03/2020","0.23624","0.22901","0.24616","0.22445","14.84B","3.15%"
"23/02/2020","0.22902","0.27492","0.28430","0.22313","19.39B","-16.69%"
"16/02/2020","0.27492","0.30754","0.31879","0.26279","23.14B","-10.61%"
"09/02/2020","0.30754","0.27763","0.34553","0.26764","24.00B","10.77%"
"02/02/2020","0.27763","0.24132","0.28804","0.24132","17.97B","15.05%"
"26/01/2020","0.24132","0.21960","0.24594","0.21823","12.26B","9.89%"
"19/01/2020","0.21960","0.24349","0.25122","0.21401","11.91B","-9.82%"
"12/01/2020","0.24350","0.21127","0.32324","0.20971","17.51B","15.20%"
"05/01/2020","0.21138","0.19313","0.22505","0.19289","15.53B","9.46%"
